Density,BodyFat,Age,Weight,Height,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist
1.0708,12.3,23,154.25,67.75,3,93.1,85.2,90,59,37.3,21.9,32,27.4,16
1.0578,18,43,165.5,68.5,4,93.1,87.3,91,54.7,39,24.8,31,29.4,17
1.0814,7.7,39,125.25,68,5,85.1,76,92,50,34.7,21,26.1,23.1,18
1.0678,13.6,45,135.75,68.5,6,92.3,83.4,93,52,35.8,20.6,28.8,25.5,19
1.068,13.5,55,125,64,7,87.7,76,94,50.9,35.4,19.1,29.3,25.7,20
1.0703,12.5,55,126.5,66.75,8,88.8,78.2,95,50.8,33,19.7,25.3,22,21
1.0742,10.8,40,133.5,67.5,9,88.2,73.7,96,53.3,34.5,22.5,27.9,26.2,22
1.1089,0,40,118.5,68,10,79.3,69.4,97,47.2,33.5,20.2,27.7,24.6,23
1.0631,15.6,31,140.25,68.25,11,86,76.4,98,57.4,35.3,22.2,27.9,25.9,24
1.0414,25.3,22,154,66.25,12,95.8,87.9,99,59.6,38.9,24,28.8,25.2,25
1.0903,4,47,127.5,66.75,13,83.4,70.4,100,50.6,34.4,21.9,26.8,25.8,26
1.0983,0.7,35,125.75,65.5,14,90.8,75,101,50,34.8,22,24.8,25.9,27
1.0758,10.1,27,146,72.25,15,88.5,72.8,102,53.6,36.8,23.8,27.8,26.3,28
1.05,21.4,40,168.5,69.25,16,97.8,92.3,103,57.5,36.8,22.8,32.1,26,29
1.084,6.6,40,139.25,69,17,89.2,77.9,104,51.4,34.9,21,26.7,26.1,30
1.0481,22.4,40,168.25,71.25,18,98.3,88.5,105,58.1,38.4,22.5,31.7,27.4,31
1.034,28.7,24,184.25,71.25,19,97.3,100,106,63.2,42.2,24,32.2,27.7,32
1.0668,14,28,151.25,67.75,20,90.2,76.3,107,58.4,35.5,22.9,31.1,28,33
1.0742,10.8,47,159.75,70.75,21,92.9,84.4,108,56,38.2,22.6,29,26.2,34
1.0665,5.6,39,148.5,71.25,22,89.8,79.5,109,52.7,37.5,21.9,28.8,26.8,35
1.0599,17,65,127.5,65.75,23,93,79.7,110,50.7,33.4,20.1,28.5,24.8,36
1.0678,13.6,51,149.25,69.75,24,92.8,81.1,111,53.8,36.5,21.5,31.3,26.3,37
1.0756,10.2,47,158.25,72.25,25,90.2,86.7,112,52.6,37.2,22.4,26,25.8,38
1.0736,11,70,134.25,67,26,89.2,83.6,113,49.6,34.8,21.5,25.6,25.7,39
1.0775,9.4,31,151.25,72.25,27,94,81.2,114,52.5,36.6,21,27,26.3,40
1.0848,6.3,49,152.75,73.5,28,93.3,79.6,115,52.6,37.6,22.6,38.5,27.4,41
1.0384,26.7,58,161.75,67.25,29,94.9,94.9,116,56.8,35.9,21,27.8,26.1,42
1.0873,5.3,25,143.75,72.5,30,92.3,76.5,117,51.9,35.7,22,25.8,25.2,43
1.0484,22.1,43,150,69.25,31,91.1,85.7,118,55.5,35.7,22,29.4,26.6,44
1.0874,5.2,55,142.25,67.25,32,92.7,82.8,119,54.4,35.2,22.5,29.4,26.8,45
1.0745,10.6,57,147.75,65.75,33,99.6,86.4,120,53,35,21.3,31.7,27.3,46
1.0503,21.3,42,163,70.25,34,93.5,89.6,121,61.5,37.8,21.9,30.7,27.6,47
1.0689,13.1,37,151,67,35,92.6,83.2,122,60,38.1,22,31.5,26.6,48
1.0713,12.1,40,159.25,69.75,36,92.3,86.8,123,58,39.4,22.7,30,26.4,49
1.0776,9.4,26,152.25,69,37,92.9,77.6,124,56.9,35.9,20.4,31.6,29,50
1.047,22.8,42,162.75,72.75,38,92.2,85.6,125,60.2,38.9,22.4,31.7,27.1,51
1.0584,17.7,32,148.75,70,39,86.7,80,126,54.9,36.2,22.1,29.8,26.7,52
1.0439,24.3,62,167.5,71.5,40,97.6,91.5,127,56.6,38.6,22.4,31.5,27.3,53
1.0575,18.1,49,171.75,71.5,41,97.8,90.1,128,57,38.7,23.2,27.5,26.5,54
1.0775,9.4,23,159.75,72.25,42,92.1,77.1,129,56.1,36.1,22.7,30.5,27.2,55
1.0725,11.5,40,145.75,67.25,43,95.5,83.6,130,54.1,36.2,21.8,31.4,28.3,56
1.0488,22,42,156.25,69,44,97.8,86,131,57.7,38.6,24,31.2,27.3,57
1.0317,29.8,56,178.75,68.5,45,102.9,94.7,132,60.9,38,22.1,32.5,29.8,58
1.0499,21.5,54,151.5,70.75,46,90,83.9,133,55,36.1,21.7,29.6,27.4,59
1.0594,17.3,28,171.5,75.25,47,92.1,83.5,134,57.3,37.8,21.7,32.2,27.7,60
1.0911,3.7,27,159.25,71.5,48,89.6,79.7,135,55,36.7,22.5,29.9,28.2,61
1.067,13.9,43,164.25,73.25,49,96.6,81.5,136,58.4,38.2,23.4,29.7,27.4,62
1.0664,14.2,24,156,70.75,50,92.7,81.9,137,56.4,36.5,22,33.5,28.3,63
1.0829,7.1,49,140.5,68,51,91.2,79.4,138,51.1,35,21.7,30.9,28.8,64
1.0582,17.8,46,156.5,68.25,52,95.1,88.2,139,54.7,37.3,21.9,31.6,27.5,65
1.0704,12.5,30,136.5,68.75,53,88.7,76.6,140,50.1,34.8,21.8,27,34.9,66
1.0666,18.5,61,148.25,67.5,54,91.6,81.8,141,54.5,37,21.4,29.3,27,67
1.0644,15.1,34,140,70.5,55,89.2,83.4,142,52.4,35.6,20.4,28.3,26.2,68
1.0763,9.9,37,145.25,69.25,56,96.8,79.4,143,50.3,34.8,22.2,31,26.9,69
1.0771,9.6,47,160.5,70.25,57,99.8,83.9,144,53,36.2,22.5,31.4,27.5,70
1.0811,7.9,34,131.5,67.5,58,88.6,74.6,145,51.7,34.7,21.4,28.7,27,71
1.0477,22.5,31,177.25,71.5,59,101.1,92.4,146,59.4,39,24.6,30.1,28.2,72
1.0693,12.9,55,156.75,71.5,60,94.4,84.6,147,51.2,37.4,21.6,27.3,27.1,73
1.053,20.1,41,172.75,71.25,61,96.7,89.2,148,60,38.4,23.2,31,29.2,74
1.0607,16.7,40,158,69.25,62,97,86.6,149,55.9,36.3,22.1,29.8,26.3,75
1.0472,22.7,40,171.25,70.5,63,94.6,90.3,150,60.3,38.5,23,31.2,28.4,76
1.0641,15.2,68,155.5,69.25,64,97.4,84.3,151,54.3,37.5,22.6,29.2,27.3,77
1.0549,19.2,26,181,69.75,65,105.1,90.7,152,58.4,38.3,22.9,31.9,27.8,78
1.0512,20.9,35,162.75,66,66,99.1,92.8,153,63.1,38.7,21.7,31.1,26.4,79
1.091,3.7,27,133.25,64.75,67,93.5,73.9,154,50.1,34.5,21.3,30.5,27.9,80
1.0796,8.5,56,160.75,73.75,68,93.6,82.9,155,52.9,37.5,23.1,29.7,27.3,81
1.0728,11.4,41,153,69.25,69,91.4,80.6,156,54.3,36.3,21.8,29.6,27.3,82
1.0807,8,51,137.25,67.75,70,89.7,82,157,49.3,33.7,21.4,29.6,26,83
1.072,11.8,61,143,65.75,71,93.4,83.3,158,55.5,35.2,20.9,29.4,27,84
1.0386,26.6,67,167,67.5,72,98.9,89.7,159,54.7,37.8,33.7,32.4,27.7,85
1.0462,23.1,64,160,65.75,73,104.3,90.9,160,57.8,39.5,23.3,29.2,28.4,86
1.0435,24.4,41,168.25,69.5,74,98.4,87.2,161,56,36.9,23,34,29.8,87
1.0571,18.3,40,173.25,69.5,75,99.5,93,162,60.4,38.2,22,32,28.5,88
1.0583,17.7,42,168,71.5,76,92,89.7,163,62.3,38,22.3,30.8,27.8,89
1.025,32.9,44,205,29.5,77,106,104.3,164,70.6,42.5,23.7,33.6,28.7,90
1.0587,17.5,46,167,67,78,101,89.9,165,60.7,36,21.9,35.6,30.2,91
1.079,8.8,29,160.75,69,79,97.4,83.5,166,58.9,35.3,22.6,30.1,26.7,92
1.0666,14.1,48,176,73,80,96.7,86.5,167,60.4,39.9,24.4,28.8,29.6,93
1.0529,20.1,48,177.25,72.75,81,96,90,168,58.8,38.4,22.8,29.9,28,94
1.0673,13.8,55,154.75,71.5,82,95.4,86.6,169,54.3,35.4,21.5,32.8,27.4,95
1.0652,14.7,40,160.25,68.75,83,99.3,83.3,170,60.5,38.7,22.6,34.4,28,96
1.0623,16,47,151.5,66.75,84,94,86.1,171,58.1,36.5,22.1,30.6,27.5,97
1.0819,7.5,51,154.5,70,85,93.3,81.5,172,54.7,39,22.6,27.5,25.9,98
1.0524,20.4,48,173.75,72,86,99.1,92,173,59.3,38.4,22.4,27.9,26.2,99
1.0491,21.8,39,166.75,70.75,87,92.9,86.1,174,58.8,36.1,22.4,32.7,28.3,100
1.0761,10,28,182.5,72.25,88,98.5,90.8,175,60.8,38.5,25,31.6,28,101
1.0926,3,35,152.25,67.75,89,92.2,81.9,176,54.7,36.2,22.1,30.4,27.4,102
1.0355,28,43,183.25,70,90,108,105,177,63.7,40,23.6,33.5,27.8,103
1.052,20.5,46,177,70,91,99.7,95.6,178,58.3,38.2,22.5,29.1,27.7,104
1.0538,19.7,43,170.75,68.5,92,96.3,90.6,179,61.9,38,22.3,33.3,28.2,105
1.065,14.8,55,169.5,68.25,93,101.7,91.1,180,56.6,38.5,22.6,33.4,29.3,106
1.0862,5.7,29,160.25,71.25,94,93.5,84.5,181,58.5,38.8,21.5,30.1,26.4,107
1.0279,31.6,48,217,70,95,113.3,111.2,182,67.7,40.9,25,36.7,29.8,108
1.0785,9,47,184.25,74.5,96,99.6,88.8,183,57.4,39.6,24.6,30.3,27.9,109
1.0751,10.4,26,184.75,72.25,97,101.8,86.4,184,60.1,37.3,22.8,32.4,29.4,110
